Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty,Package,Series,"Part Status","Capacitance","Tolerance","Voltage - Rated","ESR (Equivalent Series Resistance)","Lifetime @ Temp.","Termination","Mounting Type","Package / Case","Lead Spacing","Size / Dimension","Height - Seated (Max)","Operating Temperature"
"-","-","478-BWB284103ZCCA1-ND","BWB284103ZCCA1","AVX Corporation","AVX Corporation","SUPERCAPS","0","6.75628","0","390","Bulk","-","Active","-","-","-","-","-","-","-","-","-","-","-","-"
"https://www.tecategroup.com/products/data_sheet.php?i=TPL-40/12X46F","//media.digikey.com/Photos/TecateGroup/MFG_TPL-40_12X46F.jpg","2085-TPL-40/12X46F-ND","TPL-40/12X46F","Tecate Group","Tecate Group","CAP 40F -10% +20% 2.7V T/H","11,177","6.77","0","1","Bulk","TPL","Active","40 F","-10%, +20%","2.7 V","19mOhm @ 1kHz","1000 Hrs @ 85°C","PC Pins","Through Hole","Radial, Can","0.209"" (5.30mm)","0.492"" Dia (12.50mm)","1.870"" (47.50mm)","-40°C ~ 85°C"
"http://nichicon-us.com/english/products/pdfs/e-juk.pdf","//media.digikey.com/Photos/Nichicon%20Photos/MFG_EVerCAP-JUK-12mm.jpg","493-14737-ND","JUK0E685MHD","Nichicon","Nichicon","CAP 6.8F 20% 2.5V T/H","93","6.77","0","1","Bulk","EVerCAP® JUK","Active","6.8 F","±20%","2.5 V","85mOhm @ 1kHz","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can","0.197"" (5.00mm)","0.492"" Dia (12.50mm)","1.319"" (33.50mm)","-40°C ~ 70°C"
"https://datasheets.avx.com/AVX-SCM.pdf","//media.digikey.com/Photos/AVX%20Photos/MFG_AVX_SCM-SHRK-WRP.jpg","478-11303-ND","SCMS32F505PRBA0","AVX Corporation","AVX Corporation","CAP 5F 0% +100% 5.5V T/H","0","6.77","0","1","Bulk","SCM","Active","5 F","0%, +100%","5.5 V","120mOhm @ 1kHz","1000 Hrs @ 65°C","PC Pins","Through Hole","Radial, Can","0.610"" (15.50mm)","0.787"" L x 0.394"" W (20.00mm x 10.00mm)","1.319"" (33.50mm)","-40°C ~ 65°C"
"-","-","A1010AR47-AP-ND","A1010AR47-AP","Eaton - Electronics Division","Eaton - Electronics Division","CAPACITOR,AEROGEL,0.47F,","0","6.78976","0","500","Bulk","-","Active","-","-","-","-","-","-","-","-","-","-","-","-"
"https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-tv-supercapacitors-cylindrical-cells-data-sheet.pdf","//media.digikey.com/Photos/Eaton%20Bussmann/MFG_TV_Supercap_Hero.jpg","283-4672-ND","TV1635-3R0356-R","Eaton - Electronics Division","Eaton - Electronics Division","CAP 35F -10% +30% 3V T/H","100","6.79","0","1","Bulk","TV","Active","35 F","-10%, +30%","3 V","15mOhm","1000 Hrs @ 85°C","PC Pins","Through Hole","Radial, Can","0.295"" (7.50mm)","0.650"" Dia (16.50mm)","1.496"" (38.00mm)","-40°C ~ 85°C"
"https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-kr-supercapacitors-coin-cells-data-sheet.pdf","//media.digikey.com/photos/Cooper%20Bussmann%20Photos/KR-5R5V334-R.jpg","283-2815-ND","KR-5R5V474-R","Eaton - Electronics Division","Eaton - Electronics Division","CAP 470MF -20% +80% 5.5V T/H","8,698","6.83","0","1","Bulk","KR","Active","470 mF","-20%, +80%","5.5 V","50Ohm @ 1kHz","1000 Hrs @ 70°C","PC Pins","Through Hole","Axial, Can - Vertical","0.197"" (5.00mm)","0.453"" Dia (11.50mm)","0.492"" (12.50mm)","-25°C ~ 70°C"
"https://www.tecategroup.com/products/data_sheet.php?i=PBLC-3R8/10MA2","//media.digikey.com/Photos/TecateGroup/MFG_PBLC-3R8_10MA2.jpg","2085-PBLC-3R8/10MA2-ND","PBLC-3R8/10MA2","Tecate Group","Tecate Group","LIC 10F 3.8V W/CONNECTOR","25","6.83","0","0","Bulk","PBLC™","Active","10 F","±20%","3.8 V","-","1000 Hrs @ 70°C","Wire Leads","User Defined","Radial, Can","-","0.315"" Dia (8.00mm)","0.551"" (14.00mm)","-15°C ~ 70°C"
"-","-","478-BWB355223ZCCA1-ND","BWB355223ZCCA1","AVX Corporation","AVX Corporation","SUPERCAPS","0","6.83508","0","390","Bulk","-","Active","-","-","-","-","-","-","-","-","-","-","-","-"
"https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-supercapacitor-hybrid-cylindrical-cells-data-sheet.pdf","//media.digikey.com/Photos/Eaton-Electronics/MFG_HS1025.jpg","283-HS1025-3R8706-R-ND","HS1025-3R8706-R","Eaton - Electronics Division","Eaton - Electronics Division","CAP HYBRID 70F 20% 3.8V TH","475","6.85","0","1","Bulk","HS","Active","70 F","±20%","3.8 V","250mOhm","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can","0.197"" (5.00mm)","0.413"" Dia (10.50mm)","1.063"" (27.00mm)","-15°C ~ 70°C"
"https://www.tecategroup.com/products/data_sheet.php?i=TPLC-3R8/60MR10X25","//media.digikey.com/photos/TecateGroup/MFG_TPLC-3R8-60MR10X25.jpg","2085-TPLC-3R8/60MR10X25-ND","TPLC-3R8/60MR10X25","Tecate Group","Tecate Group","CAP HYBRID 60F 3.8V T/H","170","6.86","0","1","Tray","TPLC","Active","60 F","±20%","3.8 V","110mOhm @ 1kHz","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can","0.197"" (5.00mm)","0.394"" Dia (10.00mm)","1.063"" (27.00mm)","-15°C ~ 70°C"
"https://datasheets.avx.com/AVX-SCM.pdf","//media.digikey.com/Photos/AVX%20Photos/MFG_AVX_SCM-SHRK-WRP.jpg","478-SCMT32D755SRBB0-ND","SCMT32D755SRBB0","AVX Corporation","AVX Corporation","CAP 7.5F -10% +30% 5.4V T/H","0","6.86","0","1","Bulk","SCM","Active","7.5 F","-10%, +30%","5.4 V","70mOhm @ 1kHz","1000 Hrs @ 65°C","PC Pins","Through Hole","Radial, Can","0.709"" (18.00mm)","0.984"" L x 0.492"" W (25.00mm x 12.50mm)","1.319"" (33.50mm)","-40°C ~ 85°C"
"//media.digikey.com/pdf/Data%20Sheets/Cooper%20Bussmann%20PDFs/PM_Series_RevX7.pdf","//media.digikey.com/Photos/Cooper%20Bussmann%20Photos/PM-5R0H104-R.JPG","283-4208-ND","PM-5R0H104-R","Eaton - Electronics Division","Eaton - Electronics Division","CAP 100MF -20% +80% 5V T/H","0","6.86","0","1","Bulk","PM","Active","100 mF","-20%, +80%","5 V","1.25Ohm @ 1kHz","1000 Hrs @ 60°C","PC Pins","Through Hole","Radial, Can, Horizontal","0.287"" (7.30mm)","0.512"" L x 0.445"" W (13.00mm x 11.30mm)","0.236"" (6.00mm)","-40°C ~ 60°C"
"-","-","478-SCMT32H755MRBB0-ND","SCMT32H755MRBB0","AVX Corporation","AVX Corporation","CYLINDRICAL SUPERCAP MODUL","0","6.89013","0","150","Bulk","*","Active","-","-","-","-","-","-","-","-","-","-","-","-"
"//media.digikey.com/pdf/Data%20Sheets/Nichicon%20PDFs/JUM0H184ACD.pdf","//media.digikey.com/photos/Nichicon%20Photos/JUMT1475MHD.JPG","493-13569-ND","JUM0H184ACD","Nichicon","Nichicon","CAP 180MF 0% 40% 5.5V T/H","4","6.9","0","1","Bulk","EVerCAP® JUM","Active","180 mF","0% , 40%","5.5 V","2Ohm","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can","0.201"" (5.10mm)","0.650"" Dia (16.50mm)","0.532"" (13.50mm)","-30°C ~ 85°C"
"https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-kr-supercapacitors-coin-cells-data-sheet.pdf","//media.digikey.com/photos/Cooper%20Bussmann%20Photos/KR-5R5H474-R.jpg","283-2822-ND","KR-5R5H105-R","Eaton - Electronics Division","Eaton - Electronics Division","CAP 1F -20% +80% 5.5V T/H","7,774","6.91","0","1","Bulk","KR","Active","1 F","-20%, +80%","5.5 V","30Ohm @ 1kHz","1000 Hrs @ 70°C","PC Pins","Through Hole","Axial, Can - Horizontal","0.787"" (20.00mm)","0.748"" Dia (19.00mm)","0.256"" (6.50mm)","-25°C ~ 70°C"
"https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-kr-supercapacitors-coin-cells-data-sheet.pdf","//media.digikey.com/photos/Cooper%20Bussmann%20Photos/KR-5R5V334-R.jpg","283-2816-ND","KR-5R5V105-R","Eaton - Electronics Division","Eaton - Electronics Division","CAP 1F -20% +80% 5.5V T/H","1,637","6.91","0","1","Bulk","KR","Active","1 F","-20%, +80%","5.5 V","30Ohm @ 1kHz","1000 Hrs @ 70°C","PC Pins","Through Hole","Axial, Can - Vertical","0.197"" (5.00mm)","0.748"" Dia (19.00mm)","0.768"" (19.50mm)","-25°C ~ 70°C"
"http://www.maxwell.com/images/documents/3V_25F_datasheet.pdf","//media.digikey.com/Photos/Maxwell%20Technologies%20Photos/MFG_BCAP000X.jpg","1182-1060-ND","BCAP0025 P300 X11","Maxwell Technologies Korea Co., Ltd.","Maxwell Technologies Korea Co., Ltd.","CAP 25F 3V THROUGH HOLE","2,725","6.93","0","1","Bulk","-","Active","25 F","-","3 V","22mOhm","-","PC Pins","Through Hole","Radial, Can","0.295"" (7.50mm)","0.630"" Dia (16.00mm)","1.043"" (26.50mm)","-40°C ~ 65°C"
"http://www.maxwell.com/images/documents/XP_2_7_25F_ds_3001979_datasheet.pdf","-","1182-1050-ND","BCAP0025 P270 X01","Maxwell Technologies Korea Co., Ltd.","Maxwell Technologies Korea Co., Ltd.","CAP 25F -10% +20% 2.7V T/H","1,514","6.93","0","1","Bulk","-","Active","25 F","-10%, +20%","2.7 V","25mOhm","-","PC Pins","Through Hole","Radial, Can","0.295"" (7.50mm)","0.630"" Dia (16.00mm)","1.043"" (26.50mm)","-40°C ~ 65°C"
"https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-kr-supercapacitors-coin-cells-data-sheet.pdf","//media.digikey.com/photos/Cooper%20Bussmann%20Photos/COOPERBUSSMANN-SERIES-KR-5R5C.jpg","283-2810-ND","KR-5R5C105-R","Eaton - Electronics Division","Eaton - Electronics Division","CAP 1F -20% +80% 5.5V T/H","3,034","6.94","0","1","Bulk","KR","Active","1 F","-20%, +80%","5.5 V","30Ohm @ 1kHz","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can","0.197"" (5.00mm)","0.846"" Dia (21.50mm)","0.280"" (7.10mm)","-25°C ~ 70°C"
"https://www.vishay.com/docs/28421/220edlc-enycap.pdf","//media.digikey.com/Photos/Vishay BC Photos/MFG_MAL222090001E3.jpg","4866PHBK-ND","MAL222090006E3","Vishay Beyschlag/Draloric/BC Components","Vishay Beyschlag/Draloric/BC Components","CAPACITOR 20F -20% +50% 2.7V T/H","171","6.96","0","1","Tray","ENYCAP™ 220 EDLC","Active","20 F","-20%, +50%","2.7 V","28mOhm @ 1kHz","1000 Hrs @ 85°C","PC Pins","Through Hole","Radial, Can","0.295"" (7.50mm)","0.630"" Dia (16.00mm)","1.063"" (27.00mm)","-40°C ~ 85°C"
